2.01909E+15,9/27/2019 13:01,88C626531E1F
2.01909E+15,9/27/2019 13:02,88C626531E20
2.01909E+15,9/27/2019 13:07,88C626531E21
2.01909E+15,9/27/2019 13:08,88C626531E22
2.01909E+15,9/27/2019 15:03,88C626531E23
2.01909E+15,9/27/2019 15:04,88C626531E24
2.01909E+15,9/27/2019 15:04,88C626531E25
2.01909E+15,9/27/2019 15:05,88C626531E26
2.01909E+15,9/27/2019 15:05,88C626531E27
2.01909E+15,9/27/2019 15:06,88C626531E28
2.01909E+15,9/27/2019 15:06,88C626531E29
2.01909E+15,9/27/2019 15:07,88C626531E2A
2.01909E+15,9/27/2019 15:07,88C626531E2B
2.01909E+15,9/27/2019 15:08,88C626531E2C
2.01909E+15,9/27/2019 15:09,88C626531E2D
2.01909E+15,9/27/2019 15:14,88C626531E2E
2.01909E+15,9/27/2019 15:14,88C626531E2E
2019091908645289 ,9/27/2019 3:17:08 PM,88C626531E2F
2019091908645289 ,9/27/2019 3:18:20 PM,88C626531E30
2019091908645289 ,9/27/2019 3:18:24 PM,88C626531E31
